"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"No birds, beasts, flowers, insects; Just the shadows—moving; ‘Ladies in grey!’","鸟息了，野兽歇了，花朵睡了，昆虫眠了；只有影子还在不断移动；“灰衣女士！”"
"Over that log they would climb; would whisper together.","他们会爬过那根原木，聚在一起窃窃私语。"
"She and Bosinney!","她和波辛尼！"
"Funny thought!","多么滑稽的想法！"
"And the frogs and little things would whisper too!","青蛙和小虫子也会窃窃私语！"
"How the clock ticked, in here!","时钟在这里滴滴答答地响！"
"It was all eerie—out there in the light of that red moon; in here with the little steady night-light and, the ticking clock and the nurse’s dressing-gown hanging from the edge of the screen, tall, like a woman’s figure.","一切都很怪异——外面红色月亮下的一切；这里通宵点着的灯，光虽小却很稳定，滴答作响的时钟，保姆的晨衣搭在屏风边上，高高的，像女人的身形。"
"‘Lady in grey!’","“灰衣女士！”"
"And a very odd thought beset him: Did she exist?","他突然有了个奇怪的念头：她存在过吗？"
"Had she ever come at all?","她真的来过吗？"
"Or was she but the emanation of all the beauty he had loved and must leave so soon?","或者她只是所有他曾爱过的而如今马上要离开的美的化身？"
"The violet-grey spirit with the dark eyes and the crown of amber hair, who walks the dawn and the moonlight, and at blue-bell time?","她是不是那个有着黑色眼睛和琥珀色头发的精灵，穿着紫罗兰灰色的衣服，在黎明时，在月光下，在风信子开放的时节走过原野？"
"What was she, who was she, did she exist?","她是什么？她是谁？她存在过吗？"
"He rose and stood a moment clutching the window-sill, to give him a sense of reality again; then began tiptoeing towards the door.","他起身站了一会儿，手抓着窗台，以便让自己重新找到现实的感觉。然后他蹑手蹑脚地走向房门。"
"He stopped at the foot of the bed; and Holly, as if conscious of his eyes fixed on her, stirred, sighed, and curled up closer in defence.","他在床脚停了下来，霍利似乎知道他的眼睛正注视着她，动了一下，叹了口气，身体蜷缩得更紧了，好像是在护着自己。"
"He tiptoed on and passed out into the dark passage; reached his room, undressed at once, and stood before a mirror in his night-shirt.","他又踮着脚尖走了出去，到了昏暗的走廊，然后回到自己的房间，马上脱下衣服，穿着睡衣站在镜子前。"
"What a scarecrow—with temples fallen in, and thin legs!","眼前简直是个稻草人，深陷的太阳穴，两条单薄瘦削的腿！"
"His eyes resisted his own image, and a look of pride came on his face.","他很抗拒自己镜中的模样，一抹骄傲的神情出现在他的脸上。"
"All was in league to pull him down, even his reflection in the glass, but he was not down—yet!","好像一切都串通好了要打垮他，就连他在镜子中的影像也不例外。但他还没垮——没有！"
"He got into bed, and lay a long time without sleeping, trying to reach resignation, only too well aware that fretting and disappointment were very bad for him.","他爬上床，在床上躺了很久，但却一直醒着，试着不再焦虑，清楚地知道烦恼和失望对他的身体很不好。"
"He woke in the morning so unrefreshed and strengthless that he sent for the doctor.","早上醒来时，他感觉毫无精神而且无力，于是叫了医生。"
"After sounding him, the fellow pulled a face as long as your arm, and ordered him to stay in bed and give up smoking.","诊断过后，医生拉长了脸，要求他躺在床上休息并戒烟。"
"That was no hardship; there was nothing to get up for, and when he felt ill, tobacco always lost its savour.","这没什么难的，他即使起床也没什么事做，而且他得病时，香烟也索然无味。"
"He spent the morning languidly with the sun-blinds down, turning and re-turning The Times, not reading much, the dog Balthasar lying beside his bed.","整个上午过得很慵懒。百叶帘拉了下来，他拿着一份《泰晤士报》翻来覆去地看，也没读进去多少。小狗巴尔萨泽躺在他的床边。"
"With his lunch they brought him a telegram, running thus:","佣人来送午餐时带来了一份电报，上面写着："
"‘Your letter received coming down this afternoon will be with you at four-thirty.","“信已收到。今天下午过去，四点半见。"
"Irene.’","艾琳。”"
"Coming down!","她要来了！"
"After all!","终于要来了！"
"Then she did exist—and he was not deserted.","那她确实存在——他也没有被抛弃。"
"Coming down!","她要来了！"
"A glow ran through his limbs; his cheeks and forehead felt hot.","他感到一股暖流涌遍四肢，脸颊和额头有些发热。"
"He drank his soup, and pushed the tray-table away, lying very quiet until they had removed lunch and left him alone; but every now and then his eyes twinkled.","他喝完汤，将小餐台推到一旁，静静地躺着，直到他们来取走餐具，留下他一人；但他的眼睛不时地现出光彩来。"
"Coming down!","她要来了！"
"His heart beat fast, and then did not seem to beat at all.","他的心跳得飞快，而后又几乎不跳了。"
"At three o’clock he got up and dressed deliberately, noiselessly.","三点时，他从床上起来，仔细地、轻轻地穿好衣服。"
"Holly and Mam’zelle would be in the schoolroom, and the servants asleep after their dinner, he shouldn’t wonder.","霍利和博斯小姐这时候会在教室里，而仆人们午餐过后会睡觉，他不觉得奇怪。"
"He opened his door cautiously, and went downstairs.","他小心翼翼地打开门，走到楼下。"
"In the hall the dog Balthasar lay solitary, and, followed by him, old Jolyon passed into his study and out into the burning afternoon.","大厅里只有小狗巴尔塔萨在那里躺着，它跟着老乔利恩穿过书房，走进了烈日炎炎的午后。"
"He meant to go down and meet her in the coppice, but felt at once he could not manage that in this heat.","他原本想到灌木林里接她，但立刻发现这么热的天他做不到。"
"He sat down instead under the oak tree by the swing, and the dog Balthasar, who also felt the heat, lay down beside him.","于是他坐在了秋千旁边的那棵橡树下，巴尔塔萨也感到了热，在他身旁躺了下来。"
"He sat there smiling.","他坐在那里，微笑着。"
"What a revel of bright minutes!","多么令人陶醉的美妙时刻！"
"What a hum of insects, and cooing of pigeons!","昆虫的鸣叫声，还有鸽子的咕咕声！"
"It was the quintessence of a summer day.","这就是夏天最美的地方。"
"Lovely!","多么可爱！"
"And he was happy—happy as a sand-boy, whatever that might be.","他太高兴了——像沙孩子一样高兴，不管那说的是什么。"
"She was coming; she had not given him up!","她要来了！她没有丢下他！"
