"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"“No. I wanted you to understand the purport before I sign; that’s all.","“不需要。我要你在我签字之前了解其中的要义，仅此而已。"
"Give me the deed, Gradman, and get Wickson in, will you?”","把那份契约给我，格雷德曼，再叫威克森进来，好吗？”"
"Michael saw the old chap produce from a drawer a fine piece of parchment covered with copper-plate writing and seals, look at it lovingly, and place it before Soames.","迈克尔看到那个老人从抽屉里拿出一张印有铜版雕刻的字迹和印章的羊皮纸，亲切地看了看，然后放在了索姆斯面前。"
"When he had left the room, Soames said in a low voice:","老人离开房间后，索姆斯低声说："
"“This meeting on Tuesday—I can’t tell!","“周二的会议——我自己也没把握！"
"But, whatever happens, so far as I can see, this ought to stand.”","但是，不管发生什么事情，依我所见，这份契约都应该订立。”"
"“It’s awfully good of you, sir.”","“您真是太好了，先生。”"
"Soames nodded, testing a pen.","索姆斯点了点头，拿出一支钢笔试了试能不能写出字来。"
"“I’m afraid I’ve got wrong with your old clerk,” said Michael; “I like the look of him frightfully, but I accidentally compared him to a bookmaker.”","“我担心我刚才得罪了您那位老办事员，”迈克尔说，“我非常喜欢他那副神情，但是我刚才不小心把他比作赛马赌注登记经纪人了。”"
"Soames smiled.","索姆斯笑了。"
"“Gradman,” he said, “is a ‘character.’","“格雷德曼，”他说，“是个‘有个性的人’。"
"There aren’t many, nowadays.”","现在，这种人不多了。”"
"Michael was wondering: Could one be a ‘character’ under the age of sixty?—when the ‘character’ returned, with a pale man in dark clothes.","迈克尔纳闷了：一个快60岁的人，能被称为“有个性的人”吗？这时，那个“有个性的人”回来了，还带来了一个穿深色衣服、面色苍白的人。"
"Lifting his nose sideways, Soames said at once:","索姆斯把鼻子朝旁边儿撇了一下，马上说道："
"“This is a post-nuptial settlement on my daughter.","“这是一份给我女儿的婚后财产赠与书。"
"I deliver this as my act and deed.”","我把它交出，作为我行动及契约凭证。”"
"He wrote his name, and got up.","他签下了自己的名字，然后站了起来。"
"The pale person and Gradman wrote theirs, and the former left the room.","那个面色苍白的人和格雷德曼也签了名，然后那个人就离开了。"
"There was a silence as of repletion.","这时大家都很满意，没有说话。"
"“Do you want me any more?” asked Michael.","“您还需要我做什么吗？”迈克尔问道。"
"“Yes.","“是的。"
"I want you to see me deposit it at the bank with the marriage settlement.","我想让你看着我把它存入银行，和结婚时的财产赠与书放在一起。"
"Shan’t come back, Gradman!”","我就不回来了，格雷德曼！”"
"“Good-bye, Mr. Gradman.”","“再见，格雷德曼先生。”"
"Michael heard the old fellow mutter through his beard half buried in a drawer to which he was returning the draft, and followed Soames out.","迈克尔听到那个老人的声音从胡子中间传出来。那胡子还有一半埋在抽屉里，因为老人正在把那份草稿放进抽屉里。然后，迈克尔就跟着索姆斯出来了。"
"“Here’s where I used to be,” said Soames as they went along the Poultry; “and my father before me.”","“这是我以前常呆的地方，”他们沿着家禽街走着的时候，索姆斯说，“在我之前是我父亲常呆的地方。”"
"“More genial, perhaps,” said Michael.","“也许更亲切些吧。”迈克尔说。"
"“The trustees are meeting us at the bank; you remember them?”","“那些受托管理人要在银行和我们碰头。你还记得他们吗？”"
"“Cousins of Fleur’s, weren’t they, sir?”","“弗勒的表亲们，是吗，先生？”"
"“Second cousins; young Roger’s eldest, and young Nicholas’.","“远房表亲。小罗杰的大儿子，还有小尼古拉斯的大儿子。"
"I chose them youngish.","我选他们是因为他们年轻。"
"Very young Roger was wounded in the war—he does nothing.","小小罗杰在战争中受过伤——他现在什么也不做。"
"Very young Nicholas is at the Bar.”","小小尼古拉斯现在是律师。”"
"Michael’s ears stood up.","迈克尔的耳朵立起来了。"
"“What about the next lot, sir?","“那下一代怎么称呼呢，先生？"
"Very very young Roger would be almost insulting, wouldn’t it?”","叫小小小罗杰很是无礼啊，不是吗？”"
"“There won’t be one,” said Soames, “with taxation where it is.","“不会有这样的人的，”索姆斯说，“现在税收这么重。"
"He can’t afford it; he’s a steady chap.","他负担不起的，他是个求稳的人。"
"What are you going to call your boy, if it IS one?”","你准备给孩子起什么名字，如果是个男孩的话？”"
"“We think Christopher, because of St. Paul’s and Columbus.","“我们想叫他克里斯托弗，参考圣保罗教堂的设计师和哥伦布的名字。"
"Fleur wants him solid, and I want him enquiring.”","弗勒希望他能结结实实的，而我希望他有探索精神。”"
"“H’m!","“哼！"
"And if it’s a girl?”","要是女孩呢？”"
"“Oh!—if it’s a girl—Anne.”","“啊！要是女孩的话——就叫安妮。”"
"“Yes,” said Soames: “Very neat.","“好，”索姆斯说，“很好。"
"Here they are!”","他们已经来了！”"
"They had reached the bank, and in the entrance Michael saw two Forsytes between thirty and forty, whose chinny faces he dimly remembered.","他们到银行了。在入口处，迈克尔看到了那两个福赛特家的人，三四十岁年纪，他还模糊地记得他们那下巴突出的样子。"
"Escorted by a man with bright buttons down his front, they all went to a room, where a man without buttons produced a japanned box.","在一个胸前有闪亮纽扣的人的陪同下，他们进到一个房间里，那里一个胸前没有纽扣的人拿出一个漆盒子。"
"One of the Forsytes opened it with a key; Soames muttered an incantation, and deposited the deed.","一位福赛特家族的人拿钥匙把它打开了，索姆斯小声地念叨了点儿什么，然后把契约放了进去。"
"When he and the chinnier Forsyte had exchanged a few remarks with the manager on the question of the bank rate, they all went back to the lobby and parted with the words: “Well, good-bye.”","他和福赛特家那个下巴突出的人就银行利率问题跟经理聊了几句，然后大家一起回到了大厅，互相说了句“那么，再见了”，就分手了。"
"“Now,” said Soames, in the din and hustle of the street, “he’s provided for, so far as I can see.","“现在，”索姆斯在喧闹忙碌的街道上说，“据我所知，你们已经为他准备好了。"
"When exactly do you expect it?”","你们预计他到底什么时候出生呢？”"
"“It should be just a fortnight.”","“也就还有两周时间吧。”"
"“Do you believe in this—this twilight sleep?”","“你相信那个——那个半麻醉分娩吗？”"
"“I should like to,” said Michael, conscious again of sweat on his forehead.","“我很愿意相信，”迈克尔说着，觉得自己的额头又冒汗了，"
"“Fleur’s wonderfully calm; she does Coue night and morning.”","“弗勒很镇静。她每天早晚都在做库埃的心理暗示。”"
"“That!” said Soames.","“那种东西！”索姆斯说。"
"He did not mention that he himself was doing it, thus giving away the state of his nerves.","他并没有提及自己也在做心理疗法，以免暴露自己的精神状态，"
"“If you’re going home, I’ll come, too.”","“如果你准备回家的话，我也和你一起回去。”"
"“Good!”","“好的！”"
"He found Fleur lying down with Ting-a-ling on the foot of the sofa.","他发现弗勒躺在沙发上，小叮铃躺在沙发脚上。"
"“Your father’s here, darling.","“你父亲来了，亲爱的。"
"He’s been anointing the future with another fifty thou.","他又拿出五万英镑给下一代。"
"I expect he’d like to tell you all about it.”","我想他会很高兴地告诉你这件事的。”"
"Fleur moved restlessly.","弗勒不安地动了一下。"
"“Presently.","“马上就来。"
"If it’s going on as hot as this, it’ll be rather a bore, Michael.”","要是这么热下去的话，可就麻烦了，迈克尔。”"
"“Oh! but it won’t, ducky.","“哦！不会的，亲爱的。"
"Three days and a thunderstorm.”","热上三天就会有一场大雷雨的。”"
"Taking Ting-a-ling by the chin, he turned his face up.","他捏着小叮铃的下巴，抬起了它的头。"
"“And how on earth is your nose going to be put out of joint, old man?","“你怎么这么会争宠呀，老兄？"
"There’s no joint to put.”","根本没人和你争嘛。”"
"“He knows there’s something up.”","“它知道有事要发生了。”"
"“He’s a wise little brute, aren’t you, old son?”","“它是个聪明的小畜生，是不是啊，小子？”"
"Ting-a-ling sniffed.","小叮铃用鼻子嗤了一声。"
"“Michael!”","“迈克尔！”"
"“Yes, darling?”","“什么事，亲爱的？”"
"“I don’t seem to care about anything now—it’s a funny feeling.”","“我现在好像什么都不关心了——这种感觉很奇怪。”"
