"In the Days of the Comet","彗星来临"
"Then suddenly the walls, the bitter confines, are smitten and vanish, and I walk, blinded, perplexed, and yet rejoicing, in this sweet, beautiful world, in its fair incessant variety, its satisfaction, its opportunities, exultant in this glorious gift of life.","然后，这些令人不快的禁锢之墙在顷刻之间坍塌消失了，我走在这个美丽的世界里，茫然不知所措却又欣喜若狂。这个世界绚丽多姿、充满机遇、让人满足，生命赠予的这个富丽堂皇的礼物让我欢欣鼓舞。"
"Had I the power of music I would make a world-wide motif swell and amplify, gather to itself this theme and that, and rise at last to sheer ecstasy of triumph and rejoicing.","假如我有音乐天赋的话，我定会谱出一曲在全世界广为流传的乐曲，融合多个主题，最后在胜利和欣喜中心醉神迷。"
"It should be all sound, all pride, all the hope of outsetting in the morning brightness, all the glee of unexpected happenings, all the gladness of painful effort suddenly come to its reward; it should be like blossoms new opened and the happy play of children, like tearful, happy mothers holding their first-born, like cities building to the sound of music, and great ships, all hung with flags and wine bespattered, gliding down through cheering multitudes to their first meeting with the sea.","其曲调要优美，充满自豪，要像清晨初露的曙光那样充满希望，还要充满意外的惊喜以及艰辛的劳动忽然得到回报时的那种喜悦。要像刚刚盛开的花朵，像孩子们的欢乐嬉戏，像抱着第一个新生儿幸福得热泪盈眶的母亲，像随着音乐声修建而成的城市，像一艘艘巨轮，上面挂满彩旗，香槟四溅，滑过第一次奔向大海的欢呼的人群。"
"Through it all should march Hope, confident Hope, radiant and invincible, until at last it would be the triumph march of Hope the conqueror, coming with trumpetings and banners through the wide-flung gates of the world.","听了这首乐曲，所有的人都应该满怀希望地向前行进，这种希望让人充满信心，让人容光焕发、所向披靡，直到最后，随着世界大门之处的声声号角和飘扬的旗帜，在这希望的行进中取得胜利，成为征服者。"
"And then out of that luminous haze of gladness comes Nettie, transfigured.","这种欢乐让我有种轻飘飘的感觉，就在这时，妮蒂走了过来，身形有些走样。"
"So she came again to me—amazing, a thing incredibly forgotten.","她再次朝我走来，多么令人吃惊啊，后来我把这事给忘了，真是难以置信。"
"She comes back, and Verrall is in her company.","她回来了，身边是她的伴侣维罗尔。"
"She comes back into my memories now, just as she came back then, rather quaintly at first—at first not seen very clearly, a little distorted by intervening things, seen with a doubt, as I saw her through the slightly discolored panes of crinkled glass in the window of the Menton post-office and grocer’s shop.","现在她回到了我的记忆里，就像当初她回来一样。一开始我觉得甚是离奇有趣——起初没怎么看清楚，在一些物体的干扰下只觉得她身形有些扭曲。透过芒通邮局和杂货店那有些褪色的波纹状玻璃窗，我满心疑虑地看着她。"
"It was on the second day after the Change, and I had been sending telegrams for Melmount, who was making arrangements for his departure for Downing Street.","那是巨变之后第二天，我一直在给梅尔蒙特发电报，他准备离开，前往唐宁街。"
"I saw the two of them at first as small, flawed figures.","我起先只看到他俩小小的轮廓。"
"The glass made them seem curved, and it enhanced and altered their gestures and paces.","隔着玻璃，他们看起来有些弯曲，这改变了他们的姿态和步伐。"
"I felt it became me to say “Peace” to them, and I went out, to the jangling of the door-bell.","我觉得自己应该上前去向他们示好，于是门铃响起时，我便走了出去。"
"At the sight of me they stopped short, and Verrall cried with the note of one who has sought, “Here he is!”","一看见我，他俩立马止住了脚步，维罗尔像发现了新奇事物一样，大叫起来：“他在这里！”"
"And Nettie cried, “Willie!”","紧接着妮蒂也叫道：“威利！”"
"I went toward them, and all the perspectives of my reconstructed universe altered as I did so","我朝他们走去，这时我对于之前重构的世界的理解就随之改变了。"
"I seemed to see these two for the first time; how fine they were, how graceful and human.","我仿佛是第一次见这两人似的，他们看起来是那么友好、优雅而又和善。"
"It was as though I had never really looked at them before, and, indeed, always before I had beheld them through a mist of selfish passion.","我以前似乎从未真正仔细瞧过他们，的确，以前我总是带着强烈的个人感情色彩去注视他们。"
"They had shared the universal darkness and dwarfing of the former time; they shared the universal exaltation of the new.","他们同甘共苦，携手走过了过去那段黑暗的历程，然后享受着新时期这欢乐的生活。"
"Now suddenly Nettie, and the love of Nettie, a great passion for Nettie, lived again in me.","一瞬间，我心中对妮蒂的那份爱，那种强烈的感情又回来了。"
"This change which had enlarged men’s hearts had made no end to love.","这一变化使男人的心胸变得宽广，让爱得以延续。"
"Indeed, it had enormously enlarged and glorified love.","事实上，它从很大程度上放大了爱情，美化了爱情。"
"She stepped into the center of that dream of world reconstruction that filled my mind and took possession of it all.","她走进我重构的梦想世界里，占据了我的心，让我满脑子都是她。"
"A little wisp of hair had blown across her cheek, her lips fell apart in that sweet smile of hers; her eyes were full of wonder, of a welcoming scrutiny, of an infinitely courageous friendliness.","一缕发丝拂过她的脸颊，她笑容甜美，朱唇微启，双眼充满惊喜，以一种热情的审慎，和充满鼓励的友好目光打量着我。"
